,name,organization,date,location,death,type,na,desc
133,Mylvaganam Nimalarajan,"BBC, Virakesari, Ravaya","October 19, 2000",Sri Lanka,Killed,Murder,,"
On the night of October 19, a group of unidentified gunmen approached the home of Nimalarajan, a Jaffna-based journalist who reported for various news organizations, including the BBC’s Tamil and Sinhala-language services, the Tamil-language daily Virakesari, and the Sinhala-language weekly Ravaya.
 The assailants shot the journalist through the window of his study, where he was working on an article, and threw a grenade into the home before fleeing the premises. The attack occurred during curfew hours in a high-security zone in central Jaffna town. Army officers were summoned to the house, and they took the journalist to Jaffna Hospital, where he was pronounced dead. The journalist’s parents and his 11-year-old nephew were seriously injured in the attack.
 Local journalists suspect that Nimalarajan’s reporting on vote-rigging and intimidation in Jaffna during the recent parliamentary elections may have led to his murder.
 Sri Lankan president Chandrika Bandaranaike Kumaratunga ordered defense authorities to launch an immediate inquiry into the assassination. In an October 20 letter, CPJ urged the president to ensure that the investigation was pursued vigorously and its findings made public.
 Police failed to respond to repeated requests for information regarding the status of the investigation, which appeared to have stalled by year’s end.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
134,Nahar Ali,Anirban,"April 21, 2001",Bangladesh,Killed,Murder,,"
Ali, a correspondent for the Khulna-based, Bengali-language daily Anirban,
died shortly before midnight on April 21, while undergoing treatment at
Khulna Medical College Hospital for injuries sustained in an attack
days earlier. Late on the night of April 17, masked men kidnapped Ali
from his home in the village of Shovna, according to local press
reports. The assailants stabbed him, beat him severely, and broke his
hands and legs before abandoning him on the outskirts of his village,
according to police.
Ali was found unconscious and taken to the hospital in Khulna, a major
city in southwestern Bangladesh. Doctors said he died due to major
brain damage and profuse bleeding.
Police suggested that members of the outlawed Biplobi Communist Party
may have killed Ali because of a dispute over ownership of a shrimp
farm. However, journalists in Khulna said that the investigation lacked
credibility because Ali’s reporting had uncovered links between police
and smuggling rings in the region. CPJ sources said that Ali, who
worked as the Dumuria subdistrict correspondent for Anirban,
was killed because “he knew too much” about the workings of local
criminal syndicates and the complicity of some local authorities in
their activities.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
135,Narendra Dabholkar,Sadhana,"August 20, 2013",India,Killed,Murder,,"
Two unidentified gunmen on motorcycles shot Narendra Dabholkar in the city of Pune while he was taking an early-morning walk, according to local reports. The gunmen fled the scene. Dabholkar died from injuries sustained to his neck and back, police said.
Dabholkar was the editor of a weekly Marathi-language print magazine called Sadhana (Spiritual Devotion), which promotes scientific thought and covers topics including caste, politics, and religion. Over the years, Dabholkar had angered many Indians with his lectures and writings, which propagated rationalism and scientific thinking in a country where superstitious beliefs are still rampant, the reports said.
Dabholkar, a prominent campaigner against religious superstition, had also spent several years writing in support of legislation to ban fraudulent and exploitative superstitious practices. A few days before his murder, the Maharashtra state government said it would introduce a controversial anti-superstition bill, according to reports.
Dabholkar had received threats in the days before his murder, his son, Hamid, told NDTV. Sadhana often published articles on sensitive issues, including the creation of a separate Telangana state, student suicides, farmer suicides, slums, and the ideology behind India’s Naxalite movement.
Dabholkar had also founded the Maharashtra Andhashraddha Nirmoolan Samiti (Committee for Eradication of Blind Faith), a group that encouraged social reform in India.
Maharashtra Home Minister R. R. Patil said on August 23, 2013, that police were investigating the murder.

Also in August 2013, Pune police arrested two alleged arms dealers, Manish Nagori and Vilas Khandelwal, on charges of extortion, reports said. The pair, who were later named as suspects in the journalist’s murder, were released on bail because of a lack of evidence, police said, according to reports. Because the men face charges in other cases, they remain in jail. Both have denied any role in the murder, and Nagori said that investigating authorities offered him money to accept involvement in the murder, reports said. Authorities denied the allegation.

In May 2014 the Maharashtra state government handed the case to the Central Bureau of Investigation. Investigations were delayed for a year because of staff shortages at the agency, according to reports. In July and August 2015, the bureau wrote to the state government to request that more officers be assigned to the case, The Hindu reported.

In July 2015, relatives of Dabholkar filed a writ petition at the Bombay High Court seeking court monitoring of the investigation, according to reports. In December 2015, the Central Bureau of Investigation informed the Bombay High Court that it had identified two suspects and handed the names to the court, reports said. The names were kept confidential, The Hindu reported.

In 2016, the bureau questioned several members of the hard-line Hindu group Sanatan Sanstha, which is believed to be behind the killing. The Sanatan Sanstha denies any role in the murder, reports said. Forensic analysis of the bullet cartridges found at the scene of Dabholkar’s killing and that of writers Govind Pansare and MM Kalburgi suggest a common set of killers, reports said. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
136,Nasrullah Khan Afridi,Pakistan Television and Mashriq,"May 10, 2011",Pakistan,Killed,Murder,,"

Afridi, a reporter for Pakistan Television and the local
Mashriq newspaper, was killed when his car blew up in the city of Peshawar,
according to local and international news reports. An explosive device was
detonated remotely shortly after he returned to the vehicle, which was parked
in a densely populated shopping area, news reports said.
The Pakistan Federal Union of Journalists said Afridi, who
was also the president of the Tribal Union of Journalists, had moved to
Peshawar to flee militant groups. 
In May 2006, CPJ reported, unidentified assailants had
lobbed two hand grenades at Afridi’s house in Bara, the main town of Khyber
Agency in the Federally Administered Tribal Areas. Afridi had been the target
of a death threat issued on a pirate radio station run by the Islamic militant
organization Lashkar-e-Islam. The threat came after Afridi reported that the
authorities suspected Lashkar-e-Islam of being responsible for an attack in
which a paramilitary soldier was injured.
The journalist moved to Islamabad after the attack but said
officials there would not heed his complaints of being under threat. He then
moved to the wealthy Hayatabad area of Peshawar. But in mid-2007, grenades were
lobbed at his home there. No one was injured in that attack.
Afridi was a popular, senior figure in the tightly knit
journalist community in the dangerous areas along the Afghan border. Hundreds
of people, including colleagues, political leaders, and tribal elders, attended
his memorial service. No arrests were made in the case. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
137,Nava Raj Sharma,Kadam,"June 1, 2002",Nepal,Killed,Murder,,"
Sharma, editor of the Nepali-language weekly Kadam, was kidnapped by Maoist rebels on June 1 and later killed, according to a team of journalists and human rights activists organized by the government’s National Human Rights Commission (NHRC). The NHRC visited Kalikot District, where Sharma lived, as part of an August mission to Nepal’s remote midwestern region. The group learned of his murder from local residents and police.
 Nepal’s Maoist rebels, who have been fighting a guerrilla war since 1996 to overthrow the country’s constitutional monarchy, control portions of the country, including much of Kalikot and neighboring districts.
 Maoist fighters kidnapped Sharma from the Kalikot District village of Syuna on June 1, according to members of the NHRC team. The national English-language newspaper The Kathmandu Post reported that police recovered Sharma’s badly mutilated body from the area in mid-August. Rebels had gouged out his eyes, cut his hands and legs, and shot him in the chest, police told the NHRC team.
 Sharma, who lived in the village of Sipkhana, which is adjacent to Syuna, was known as an independent journalist. He had been working at Kadam since 1998 and was formerly the editor of the local newspaper Karnali Sandesh, according to the Kathmandu-based Center for Human Rights and Democratic Studies (CEHURDES). A CEHURDES representative was part of the NHRC team that visited the area.
 Sharma was also a local schoolteacher, but local press sources said it appeared that he was targeted for his journalism. One journalist said that Sharma had refused pressure from the rebels to turn Kadam into a Maoist propaganda organ.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
138,Navin Nischal,Dainik Bhaskar,"March 25, 2018",India,Killed,Murder,,"
Navin Nischal, a stringer for the Hindi-language daily, Dainik Bhaskar, was killed on the evening of March 25, 2018, after an SUV ran him over in the town of Arrah in India’s Bihar state. 
Nischal and freelance journalist Vijay Singh were riding Nischal’s motorbike on the Arrah-Sasaram highway when an SUV hit them from behind and ran them over, according to a report in the Indian Express newspaper and Rakesh Kumar Singh, Dainik Bhaskar’s bureau chief for the Bhojpur district including Arrah.
Nischal and Singh died at the scene of the accident, according to Avkash Kumar, the Bhojpur district police superintendent.
Kumar told CPJ that a special investigation team had been formed to look into the journalists’ deaths.
According to Kumar, the Arrah village head, Mohammad Harshu, was driving the car that ran over Nischal and Singh. Police have arrested both Harshu and his son, Dablu, who was in the vehicle with his father at the time of the accident, Kumar said.
CPJ was unable to locate contact information for Mohammad and Dablu Harshus’ lawyers to get comment.
The Indian Express, quoting police sources, said that an argument had broken out between Nischal, Vijay Singh, and Mohammad Harshu earlier in the day. 
According to Indian Express, Nischal’s recent reporting on child marriage and on Harshu’s role in land divisions angered the village head.
Kumar declined to comment on the alleged threats.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
139,Niloy Neel,Freelance,"August 7, 2015",Bangladesh,Killed,Murder,,"
At least four assailants entered the blogger’s home and hacked him to death with sharp weapons in the Goran neighborhood in the capital, Dhaka, according to news reports.
The blogger was popularly known by his penname, Niloy Neel. His last name was identified in news reports as Chatterjee and Chattopadhyay.
Neel frequently criticized Islamic extremism and advocated for minority rights, as well as secular ideas, according to news reports. He was a regular contributor to Mukto-Mona, the blog founded by Bangladeshi-American blogger Avijit Roy, who was murdered in February 2015 while visiting Dhaka, The Wall Street Journal reported. Neel also contributed to Istishon, a blog on social and political issues, according to Global Voices, and posted commentaries on Facebook.
Neel was also an active member of the Ganajagaran Mancha, a group campaigning for the execution of those accused of committing war crimes during Bangladesh’s 1971 war of independence.
In 2013, Neel’s name appeared on a list widely circulated by Islamist groups in Bangladesh that called for the deaths of 84 bloggers perceived to be atheists, according to news accounts.
The BBC reported that Neel identified as a secular atheist and came from a Hindu background–similar to bloggers Roy and Ananta Bijoy Das, slain earlier in 2015.
Neel was the fourth blogger to be killed in Bangladesh in six months. Another secular blogger, Washiqur Rahman Babu, died on March 30 from injuries he sustained in an attack in broad daylight.
Hours after Neel was killed, an Islamist group claimed responsibility for his death, according to news accounts.
Neel’s wife, Asha Moni, said that a few months prior to his death, police at a nearby police station refused to accept a complaint Neel tried to file after he noticed he was being followed by strange men, according to reports, which also cited a review of Neel’s Facebook posts. Police said they were unaware of any such request.
The blogger’s friends said he had been threatened in the past, The Wall Street Journal reported.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
140,Noor Hakim Khan,Daily Pakistan,"June 2, 2007",Pakistan,Killed,Dangerous Assignment,,"
Khan, a correspondent for the Daily Pakistan and a vice
president of the Tribal Union of Journalists, was one of five people killed by
a roadside bomb in the Bajaur region of the North West Frontier Province, now
known as Khyber Pakhtunkhwa. 
Behroz Khan, the Peshawar-based reporter for The News,
confirmed news reports that the victim was returning from covering a jirga, or
tribal council. He had been invited to witness the demolition of a house
belonging to the perpetrator of a February car bombing that had killed a local
physician. The demolition was part of the disposition of the tribal council case.

Khan was traveling with a local official and a tribal chief
who had taken a role in the case, according to news reports. Their car was
third in a convoy returning from the area, reports said, suggesting it might
have been targeted.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
141,P. Srinivas Rao,Eenadu Television (E-TV),"November 19, 1997",India,Killed,Dangerous Assignment,,"
Srinivas Rao and S. Krishna, assistant cameramen for E-TV; Jagadish Babu, a producer for private channel E-TV; Gangadhara Raju, an E-TV
cameraman; and
Raja Sekhar, an assistant for E-TV, were killed in a car bomb explosion
while covering the making of a film. 

As they were leaving the Rama
Naidu Studios in Hyderabad, their vehicle caught the brunt of the
massive blast, which police said was caused by a remote control car
bomb parked by the studio entrance. The television crew’s driver, P.
Chandra Sekhar Reddy, was also killed. At least 17 others died and more
than 30 were injured. The attack is believed to have been motivated by
political rivalry targeted at the film’s producer, Paritala Ravi, a
former guerrilla leader pardoned in return for his surrender. Ravi is
also a state legislator and member of the governing Telugu Desam party.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
142,Parag Kumar Das,Asomiya Pratidin,"May 17, 1996",India,Killed,Murder,,"
Das, editor-in-chief of the largest circulation daily in Assam, Asomiya Pratidin, was fatally shot in the state capital, Guwahati, as he was picking up his 7-year-old son from school. He was the leading journalistic voice for self-rule for Assam and had continued covering separatist perspectives despite arrests in 1992 and 1993. A monitor of human rights, he also published a newsletter that reported on army and counterinsurgency abuses against the Assamese. Colleagues believe his recent interview with the leader of the separatist United Liberation Front of Assam triggered his assassination by a splinter group.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
143,Paranirupasingham Devakumar,News 1st,"May 28, 2008",Sri Lanka,Killed,Murder,,"
Devakumar, Jaffna correspondent for the independent channel
News 1st, was stabbed to death when he was attacked by supporters of the
Liberation Tigers of Tamil Eelam (LTTE), according to Sunanda Deshapriya,
spokesman for local press freedom group the Free Media Movement. 
Deshapriya said that FMM’s investigations had shown that Devakumar was killed
by Tamil Tiger supporters in retribution for critical reporting on LTTE activities
in the area. Deshapriya also noted the journalist had covered a
government-sponsored rally that the LTTE had wanted him to avoid.
The group also killed Mahendran Warden, a friend of the
journalist who was traveling with him by motorbike in the government-controlled
area, according to a report published on the News 1st Web site. Devakumar and
Warden were returning home in the evening when the attack occurred, news
reports said. Warden was the son of a leading member of the Eelam People’s
Democratic Party, a Tamil party working with the government, Deshapriya said.
Devakumar was one of the few remaining journalists reporting
from the peninsula, a focal point in the civil war between the predominantly
Sinhalese government and the LTTE, which claims territory for an ethnic Tamil
homeland. Conflict worsened in recent years, and a 2002 cease-fire agreement was
abandoned in January 2008.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
144,Parvaz Mohammed Sultan,News and Feature Alliance,"January 31, 2003",India,Killed,Murder,,"
Sultan, editor of the independent newswire service News and Feature
Alliance (NAFA), which is based in Srinagar, the summer capital of
Jammu and Kashmir State, was shot dead by an unidentified gunman.
Two men entered Sultan’s office at around 5:30 p.m., according to news
reports. After a brief conversation with Sultan, one of the men shot
him in the head. The Associated Press (AP) reported that the killer
used a pistol with a silencer. No one stopped the assailants from
leaving the premises, which is located in the press enclave in central
Srinagar.
Though Sultan was rushed to the hospital, doctors declared the
journalist dead within minutes of his arrival, police told the AP.
Sultan, 36, was known as an independent journalist who had worked for
several local Urdu-language dailies during his career. In addition to
running NAFA, he contributed investigative stories and columns to the
Urdu-language newspaper Chattan, one of the oldest newspapers in Kashmir.
Journalists working in the disputed territory of Kashmir, which both
India and Pakistan claim, have long been vulnerable to attack by
various parties to the conflict. Sultan’s colleagues told CPJ that
though they were not aware of any specific threats against the
journalist, wire service agencies such as NAFA are under constant
pressure to carry statements issued by competing political and militant
groups.
Police blamed the murder on militant groups but have not yet conducted
a thorough investigation. No group claimed responsibility for Sultan’s
murder, and many of the leading militant organizations, including
Hezb-ul Mujahedeen, condemned the murder, as did the All Parties
Hurriyat Conference, the main separatist alliance.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
145,Pervez Khan,Waqt TV,"December 6, 2010",Pakistan,Killed,Dangerous Assignment,,"

Abdul Wahab, a reporter for Express News, and Pervez Khan, a
Waqt TV journalist, were among 50 people killed in a double-suicide bomb attack
in the Mohmand tribal district, according to international news reports. 
The journalists were covering a meeting of tribal leaders
and government officials in Ghalanai, the administrative center of the region,
when two suicide bombers wearing police uniforms detonated explosives. News
reports said the meeting was called to discuss the formation of an anti-Taliban
militia. Agence France-Presse said a Pakistani Taliban group took credit for
the attack, which injured more than 100 people.
The journalists worked as both cameramen and reporters. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
146,Pradeep Bhatia,The Hindustan Times,"August 10, 2000",India,Killed,Dangerous Assignment,,"
Bhatia, a photographer for the Indian newspaper The Hindustan Times, was one of at least 12 people killed in a bomb attack in the Kashmir capital, Srinagar. Six other journalists died in the blast.
 The militant Kashmiri separatist group Hezb-ul Mujahedeen claimed responsibility for the attack in a statement issued from its headquarters in the Pakistani capital, Islamabad.
 Hezb-ul Mujahedeen spokesman Salim Hashmi was quoted in the August 11 edition of The Hindustan Times as saying, “We are deeply grieved over the death of a press photographer and injuries to some journalists.” He said the attack had targeted Indian security forces.
 However, the choreography of the bombing seemed certain to endanger journalists.
 Shortly after noon on Thursday, August 10, a grenade was thrown toward the entrance of the State Bank of India, near Residency Road in central Srinagar. This initial blast lured journalists and security forces to the area and was followed about 15 minutes later by the detonation of a powerful car bomb within a few feet of the crowd.
 Bhatia, 31, died of shrapnel wounds to his heart, according to the Indian newspaper The Asian Age. Including Bhatia, nine journalists have been killed in Kashmir since 1989, when a long-running conflict between Muslim separatists and Indian government forces became a full-scale civil war.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
147,Prahlad Goala,Asomiya Khabar,"January 6, 2006",India,Killed,Murder,,"
Goala was murdered near his home in Golaghat district in India’s northeastern state of Assam after writing a series of articles on corruption in the Assamese-language daily Asomiya Khabar that linked local forestry service officials to timber smuggling.
 Local journalists told CPJ that police arrested forest warden Zamman Jinnah in connection with the death. He was released on bail. Two other suspects, who were not forestry service employees, were also taken into custody, the journalists said.
 Jinnah had made death threats against Goala soon after his articles on corruption in the forestry service appeared, The Assam Tribune reported.
 Goala, 32, was riding a motorcycle near his home some 160 miles (260 kilometers) east of the state capital, Guwahati, when he was apparently rammed by a truck. When police arrived at the scene, they found that Goala had been stabbed several times.
 Local journalist organizations and civic groups staged a protest in Golaghat on January 10 and called for a full investigation into the killing.
After Goala’s widow filed a First Information Report, police arrested an officer in the Forest Department named K. Zaman Jinnah, reports said. Police said the forest officer was suspected of hiring professional killers to murder Goala . Golaghat Superintendent of Police Madan Chetia said they were investigating, according to a 2006 report published in The Hoot. CPJ was unable to determine if the officer denied the charges against him.

Jinnah allegedly threatened Prahlad for his exposé on Jinnah’s alleged misuse of power, according to Rohit Gogoi, the general secretary of Golaghat District Journalists Association, The Hoot reported. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
148,Prakash Singh Thakuri,Freelance,July 2007,Nepal,Killed,Murder,,"
Armed men believed to be associated with Nepal’s Maoist
party abducted freelance reporter Thakuri from his home in Mahendranagar, a city in Kanchanpur district, at around
10 a.m., on July 5, 2007. The journalist’s body was not recovered, but local
police later classified the investigation as a murder case. 
Thakuri edited and published the royalist newspaper Aajako Samachar until the king was
forced to cede control of the government in April 2006 after weeks of
pro-democracy demonstrations. He was also a prominent member of the royalist
National Journalists Federation, local newspapers reported.
Three days after Thakuri was abducted, a previously unknown group
calling itself the National Republican Army Nepal claimed in an email that it
had killed the journalist for circulating “propaganda in support of the
monarchy,” according to news reports. Police were unable to verify the origin
of the email, which lacked details such as the time and place of the murder, news
reports said. CPJ classified the case as missing until March 2012, after it conducted a fact-finding mission to Nepal.
Thakuri’s wife, Janaki, identified three members of the
Maoist’s notoriously aggressive youth branch, the Young Communist League, as being
part of the group responsible the kidnapping, news reports said.
The Maoist party signed a peace agreement in November 2006.
After it joined the coalition government as the Unified Communist Party of
Nepal (Maoist), leaders stopped the investigation of the three men in
2009, arguing that the 2006 peace accord precluded prosecution for political
crimes, according to the local press freedom group Freedom Forum. In 2011,
Nepal’s Supreme Court reinstated the case, ruling that the accord applied only to
crimes committed before November 2006. The murder case remains open in a
Kanchanpur court. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
149,Puniyamoorthy Sathiyamoorthy,freelance,"February 12, 2009",Sri Lanka,Killed,Dangerous Assignment,,"

Sathiyamoorthy, a supporter of the secessionist Liberation
Tigers of Tamil Eelam (LTTE), wrote for many pro-Tamil publications and
frequently contributed to official LTTE media. His live commentaries from
conflict zones were widely seen and heard on pro-Tamil television and radio
broadcasts. According to independent Tamil news sources as well as the LTTE, he
was killed in a Sri Lankan artillery barrage in the Mullaitheevu district.
Colleagues outside of the conflict area, not all of them
Tamils, said Sathiyamoorthy’s reports and commentaries were measured, and that
he strove to maintain journalistic standards and an accurate representation of
the wartime situations in which he found himself. His work had global impact, reaching large
numbers of Tamils living overseas.
Born in 1972, he eventually moved to Jaffna but traveled throughout the areas
controlled by the LTTE during the conflict. He was married and was the father
of a 6-year-old girl.
Several Tamil media reports said Sathiyamoorthy did not die
immediately. They cited relatives who said a lack of proper medical
attention contributed to his death.
 



Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
150,Rajdev Ranjan,Hindustan,"May 13, 2016",India,Killed,Murder,,"
Unknown men shot Rajdev Ranjan, the Hindi national daily newspaper Hindustan‘s bureau chief for Siwan, in the central Indian state of Bihar, at close range as he was returning to his office, according to press reports. The journalist, also identified as Rajdeo Ranjan in press reports, was hit in the head and the chest, killing him, according to local media. Police said they were investigating the killing, and said Ranjan had no known personal enmity with anyone, according to reports. 
In June, police said they had arrested five suspects in the shooting, who named Laddan Mian as the man who hired them to commit the murder, reports said. Mian, whom news reports identified as having political connections, voluntarily appeared before a court on June 2, 2016, and denied involvement in the killing, news reports said. 
The journalist’s widow, Asha Devi, believes Ranjan was killed in retribution for his critical reporting on a lawmaker who is currently serving prison time for dozens of charges, including murder, illegal possession of firearms, and voter-intimidation, according to news reports. In March 2016, Ranjan had broken news about a prison meeting between the former lawmaker and another local official, who shared a “feast,” reports said. Local journalists said Ranjan had been receiving death threats from criminals before his death, news accounts said.
Chief Minister Nitish Kumar’s state government called for a probe into the killing by the national-level investigative agency, the Central Bureau of Investigation, according to reports.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
151,Rajesh Mishra,Media Raj,"March 1, 2012",India,Killed,Murder,,"
Two assailants hit Mishra on the head with an iron rod while he was at a public tea stall in Rewa town in the central state of Madhya Pradesh, according to local news reports. The journalist died at a local hospital, the reports said.
Mishra, a journalist for the local Hindi-language weekly Media Raj, had written articles on alleged financial irregularities in local schools, according to the news reports. The reports cited the journalist’s family members as saying that he had been threatened during the week leading up to the attack.

Police arrested at least four men for carrying out the murder, including Rajneesh Banerjee, who owned the schools Mishra was covering and a rival Hindi-language weekly, Vindhya Bharat. Vindhya Bharat Editor Anil Tripathi and two other employees were also arrested.
Rewa Superintendent of Police Umesh Joga told the New Delhi-based media watchdog website The Hoot that Banerjee and his associates had retaliated against Mishra in connection with his reports. Vindhya Bharat and Media Raj each had a circulation of about 500 copies, The Hoot reported.
Banerjee was convicted of murder by a court in Rewa and sentenced to life imprisonment under section 120B of the Indian Penal Code, according to Banerjee. At an appeal hearing in January 2015, the Madhya Pradesh High Court granted bail to Banerjee. In its decision, the court said that the main evidence against him was two letters written by Mishra, in which the journalist said he feared Banerjee would kill him. The judges said this was insufficient evidence, adding, “Merely because certain apprehension is made, it cannot be a material for assuming that the appellant has convicted the offence.”
In April 2016, Banerjee told CPJ that his conviction was suspended and he had been granted bail. “I was in my office at that time [when Mishra was killed], yet I was convicted,” he said. His co-accused, Tripathi, was acquitted, he said. Banerjee said he was confident he would also be acquitted because a doctor’s report allegedly said that Mishra was drunk at the time. CPJ was unable to verify his claims.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
152,Rajesh Mishra,Dainik Jagran,"October 21, 2017",India,Killed,Murder,,"
Two assailants hit Mishra on the head with an iron rod while he was at a public tea stall in Rewa town in the central state of Madhya Pradesh, according to local news reports. The journalist died at a local hospital, the reports said.
Mishra, a journalist for the local Hindi-language weekly Media Raj, had written articles on alleged financial irregularities in local schools, according to the news reports. The reports cited the journalist’s family members as saying that he had been threatened during the week leading up to the attack.

Police arrested at least four men for carrying out the murder, including Rajneesh Banerjee, who owned the schools Mishra was covering and a rival Hindi-language weekly, Vindhya Bharat. Vindhya Bharat Editor Anil Tripathi and two other employees were also arrested.
Rewa Superintendent of Police Umesh Joga told the New Delhi-based media watchdog website The Hoot that Banerjee and his associates had retaliated against Mishra in connection with his reports. Vindhya Bharat and Media Raj each had a circulation of about 500 copies, The Hoot reported.
Banerjee was convicted of murder by a court in Rewa and sentenced to life imprisonment under section 120B of the Indian Penal Code, according to Banerjee. At an appeal hearing in January 2015, the Madhya Pradesh High Court granted bail to Banerjee. In its decision, the court said that the main evidence against him was two letters written by Mishra, in which the journalist said he feared Banerjee would kill him. The judges said this was insufficient evidence, adding, “Merely because certain apprehension is made, it cannot be a material for assuming that the appellant has convicted the offence.”
In April 2016, Banerjee told CPJ that his conviction was suspended and he had been granted bail. “I was in my office at that time [when Mishra was killed], yet I was convicted,” he said. His co-accused, Tripathi, was acquitted, he said. Banerjee said he was confident he would also be acquitted because a doctor’s report allegedly said that Mishra was drunk at the time. CPJ was unable to verify his claims.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
153,Rajesh Verma,IBN 7,"September 7, 2013",India,Killed,Dangerous Assignment,,"
Unidentified assailants fatally shot Rajesh Verma, a part-time stringer for the TV news channel IBN 7, in the chest while he was covering confrontations between Hindus and Muslims in the small city of Muzaffarnagar, according to Ajesh Mohan, senior assistant editor at IBN 7, and local news reports.
Mohan told CPJ that Verma had worked for the station for about five years. Poh Si Teng, a former freelance journalist for Global Post, told CPJ that in the past Verma had also worked as a fixer for the Global Post.
Indian officials said at the time that they had not been able to identify the perpetrator and that they were investigating the fatality.
The clashes erupted following police dispersal of a meeting by Hindu farmers calling for justice in the killings of two Hindu men, according to The New York Times. The victims were believed to have been killed by Muslims, news reports said. Officials said the clashes were also fueled by a false video circulated last week that purportedly showed the two men being lynched. At least 28 people were killed and more than 90 individuals arrested in the violence.
Indian prime minister Manmohan Singh met with Verma’s family and told them the culprits would be held responsible. Chief Minister Akhilesh Yadav announced financial support of Rs. 1,500,000 (US $23,870) for Verma’s family.
In February 2016, a Special Investigation Team set up to look at cases related to the Muzaffarnagar riots filed a closure report in Verma’s case. The report, which was filed in the court of the Chief Judicial Magistrate Narendra Kumar, said that the accused remain unidentified.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
154,Rakesh Sharma,Aaj,"August 23, 2013",India,Killed,Murder,,"
Sharma, 50, was shot by unidentified assailants on a motorcycle in the Bakewar town of the Etawah district in the northern state of Uttar Pradesh, according to news reports citing police. Sharma had left his home after receiving a call from an unknown number, his family told reporters.
Sharma a senior reporter for a Hindi-language daily Aaj (Today), specialized in crime reporting in the region, according to reports.
Police said they were investigating the attack. Investigators said the killing may have been prompted by “personal enmity,” but did not offer further details, according to The Hoot, a South Asian media watchdog.
Local journalists dismissed the claim, saying police had not substantiated their theory or offered any evidence to back it up, and said they believed Sharma had been targeted by a local gambling mafia for a critical report he had published on illegal gambling operations.
Sharat Pradhan, senior journalist and Uttar Pradesh Accredited Journalists Association member, told The Hoot that under the ruling Samajwadi Party there had been a rise in mafia and criminal activity in the state, and suggested that Sharma may have been targeted for his critical reporting against local politicians.
Rakesh Tiwari, president of the association, told The Hoot that he believed Sharma was targeted for his work.
Sharma was killed in the home district of Chief Minister Akhilesh Yadav. Local journalists criticized the minister for what they perceive as a lack of security for journalists working in the minister’s own district.
In the weeks surrounding Sharma’s murder, journalists reported several cases of their colleagues, who covered politics, business, and corruption, being beaten or threatened by local politicians and criminals, according to The Wall Street Journal.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
